timestamp,requests_per_sec,errors,label
2026-02-03T15:11:58.112709,1,0,normal
2026-02-03T15:12:00.129312,1,0,normal
2026-02-03T15:12:02.131005,1,0,normal
2026-02-03T15:12:04.130610,1,0,normal
2026-02-03T15:12:06.138813,1,0,normal
2026-02-03T15:12:08.152211,1,0,normal
2026-02-03T15:12:10.175350,1,0,normal
2026-02-03T15:12:12.190956,1,0,normal
2026-02-03T15:12:14.216560,1,0,normal
2026-02-03T15:12:16.245872,1,0,normal
2026-02-03T15:12:18.279590,1,0,normal
2026-02-03T15:12:20.287994,1,0,normal
2026-02-03T15:12:22.296789,1,0,normal
2026-02-03T15:12:24.308814,1,0,normal
2026-02-03T15:12:26.323835,1,0,normal
2026-02-03T15:12:28.333874,1,0,normal
2026-02-03T15:12:30.354538,1,0,normal
2026-02-03T15:12:32.371113,1,0,normal
2026-02-03T15:12:34.380841,1,0,normal
2026-02-03T15:12:36.393580,1,0,normal
2026-02-03T15:12:38.408086,1,0,normal
2026-02-03T15:12:40.414990,1,0,normal
2026-02-03T15:12:42.434080,1,0,normal
2026-02-03T15:12:44.466342,1,0,normal
2026-02-03T15:12:46.487489,1,0,normal
2026-02-03T15:12:48.502513,1,0,normal
2026-02-03T15:12:50.515991,1,0,normal
2026-02-03T15:12:52.529824,1,0,normal
2026-02-03T15:12:54.553698,1,0,normal
2026-02-03T15:12:56.564240,1,0,normal
2026-02-03T15:14:02.654879,200,0,attack
2026-02-03T15:14:17.062951,200,0,attack
2026-02-03T15:14:31.539446,200,0,attack
2026-02-03T15:14:45.966874,200,0,attack
2026-02-03T15:15:00.420885,200,0,attack
2026-03-22T19:31:42.827678+00:00,0,1,normal
2026-03-22T19:31:46.852029+00:00,0,1,normal
2026-03-22T19:31:50.871477+00:00,0,1,normal
2026-03-22T19:31:54.886498+00:00,0,1,normal
2026-03-22T19:31:58.900168+00:00,0,1,normal
2026-03-22T19:32:02.921577+00:00,0,1,normal
2026-03-22T19:32:06.940192+00:00,0,1,normal
2026-03-22T19:32:10.978220+00:00,0,1,normal
2026-03-22T19:32:14.985089+00:00,0,1,normal
2026-03-22T19:32:19.007143+00:00,0,1,normal
2026-03-22T19:32:23.023671+00:00,0,1,normal
2026-03-22T19:32:27.035706+00:00,0,1,normal
2026-03-22T19:32:31.047166+00:00,0,1,normal
2026-03-22T19:32:35.061537+00:00,0,1,normal
2026-03-22T19:32:39.071078+00:00,0,1,normal
2026-03-22T19:34:24.746060+00:00,0,200,attack
2026-03-22T19:34:53.280573+00:00,0,200,attack
2026-03-22T19:35:21.819462+00:00,0,200,attack
